met_file,parameter,value,section,title,statistic%,control_EAB,control_LPZ,EAB,LPZ,delta_EAB,delta_LPZ,pct_EAB,pct_LPZ
C:\SIERRA\Test_Cases_ATD\MET_8387.nrc,stack_height,30.0,overall_site,4-30 Day Avg. X/Qs  ,50.0,3.748622702914872e-06,1.6899992942853714e-06,9.524947017780505e-06,2.933297082563513e-06,5.776324314865633e-06,1.2432977882781415e-06,154.0919098199467,73.56794718685839
C:\SIERRA\Test_Cases_ATD\MET_8387.nrc,stack_height,30.0,overall_site,Annual   Avg. X/Qs  ,,5.605541559816629e-07,2.774192182641855e-07,1.4981972071836935e-06,4.584202599744458e-07,9.376430512020306e-07,1.8100104171026032e-07,167.27073400428114,65.2445936668647
C:\SIERRA\Test_Cases_ATD\MET_8387.nrc,stack_height,35.0,max_sector,0-2 Hr   Avg. X/Qs  ,0.5,4.1753395635169e-05,1.816228177631274e-05,7.264331361511722e-05,2.671739275683649e-05,3.088991797994822e-05,8.55511098052375e-06,73.9818103654534,47.10372345220044
C:\SIERRA\Test_Cases_ATD\MET_8387.nrc,stack_height,35.0,max_sector,0-2 Hr   Avg. X/Qs  ,5.0,8.405516382481437e-06,5.310124379320769e-06,1.601097028469667e-05,8.708891982678324e-06,7.605453902215231e-06,3.3987676033575553e-06,90.48169744890777,64.00542361292675
C:\SIERRA\Test_Cases_ATD\MET_8387.nrc,stack_height,35.0,max_sector,0-2 Hr   Avg. X/Qs  ,50.0,1.0000000116860974e-07,1.0000000116860974e-07,1.0000000116860974e-07,1.0000000116860974e-07,0.0,0.0,0.0,0.0
C:\SIERRA\Test_Cases_ATD\MET_8387.nrc,stack_height,35.0,max_sector,0-8 Hr   Avg. X/Qs  ,0.5,2.1532548998948187e-05,8.930775948101655e-06,3.727110015461221e-05,1.3189189303375315e-05,1.5738551155664027e-05,4.25841335527366e-06,73.0919091670606,47.68245648552899
C:\SIERRA\Test_Cases_ATD\MET_8387.nrc,stack_height,35.0,max_sector,0-8 Hr   Avg. X/Qs  ,5.0,5.9646099543897435e-06,3.2551370168221183e-06,1.097760923585156e-05,5.149090611666907e-06,5.012999281461816e-06,1.8939535948447883e-06,84.04571832517607,58.183529143537925
C:\SIERRA\Test_Cases_ATD\MET_8387.nrc,stack_height,35.0,max_sector,0-8 Hr   Avg. X/Qs  ,50.0,2.9106297461112263e-07,1.0000000116860974e-07,3.658376215298631e-07,1.0000000116860974e-07,7.477464691874047e-08,0.0,25.69019540140543,0.0
C:\SIERRA\Test_Cases_ATD\MET_8387.nrc,stack_height,35.0,max_sector,8-24 Hr  Avg. X/Qs  ,0.5,1.3253818906378001e-05,9.580401638231706e-06,2.52033078140812e-05,1.1912350601051003e-05,1.1949488907703198e-05,2.331948962819297e-06,90.15883642376362,24.340826730200785
C:\SIERRA\Test_Cases_ATD\MET_8387.nrc,stack_height,35.0,max_sector,8-24 Hr  Avg. X/Qs  ,5.0,3.735530526682851e-06,1.842253482209344e-06,6.799293259973638e-06,2.836033672792837e-06,3.063762733290787e-06,9.93780190583493e-07,82.01680354119357,53.94372708101442
C:\SIERRA\Test_Cases_ATD\MET_8387.nrc,stack_height,35.0,max_sector,8-24 Hr  Avg. X/Qs  ,50.0,4.3452595832604857e-07,2.707088810893765e-07,8.885814395398484e-07,3.8552590808649256e-07,4.540554812137998e-07,1.1481702699711605e-07,104.49444331542033,42.41346886554799
C:\SIERRA\Test_Cases_ATD\MET_8387.nrc,stack_height,35.0,max_sector,1-4 Day  Avg. X/Qs  ,0.5,8.22584297566209e-06,6.706772637699032e-06,2.002983819693327e-05,7.520695362472907e-06,1.180399522127118e-05,8.139227247738745e-07,143.49891258799633,12.13583296679513
C:\SIERRA\Test_Cases_ATD\MET_8387.nrc,stack_height,35.0,max_sector,1-4 Day  Avg. X/Qs  ,5.0,1.6827593753987458e-06,7.811587465766934e-07,3.2041218673839467e-06,1.0939110097751836e-06,1.521362491985201e-06,3.1275226319849025e-07,90.40879606596752,40.036966182492144
